رقم القضية:,سنة القضية ,المحافظة,المحكمة:,تاريخ الورود:,موضوع القضية:,نوع القضية,النوع الفرعي,الطرف الأول:,الطرف الثاني:,الحالة الراهنة:
int,تاريخ هجري 1400-السنة الحالية ,جدول,جدول fk,تاريخ ميلادي ,نص ,مدنية,ضريبية - جمركية - زكوية - مدنية - مستعجل,char,char,رهن المحاكمة - تأجيل المحاكمة - منتهية  - قيد النظر - محجوزة للحكم -
,,,,,,جزائية ,تعرض للانحراف - جسيمة - غير جسيمة - مستعجلة,,,
,,,,,,شخصية,شخصية - مستعجل,,,
,,,,,,إدارية,إدارية - مستعجل - عمالية,,,
,,,,,,تجارية,تجارية - مستعجل,,,
,,,,,,تنفيذ,إدارية - أوامر - مستعجل - تجارية -شخصية- عمالية- جنائية-مدنية,,,
,,,,,,,fk,,,
